[DEBUG] - [2016/06/23 15:24:30.891]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082822820 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:24:30.891]Firing a SESSION_OPENED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:30.891]Event SESSION_OPENED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:30.891]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:30.891]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:30.891]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:35.751]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:35.751]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082827825 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:24:35.751]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:35.751]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:35.751]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:40.751]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:40.751]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082832825 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:24:40.751]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:40.751]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:40.751]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:45.751]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:45.751]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082837822 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:24:45.751]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:45.751]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:24:45.751]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:24:50.752]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
